cas_number,chemical_formula,hill_sorted_formula,preferred_name,aliases,iupac_name,common_name,userid,dtstamp,inchi,class
-1001042,Si3H4,H4Si3,cyclo-SiH2SiH=SiH,"","",cyclo-SiH2SiH=SiH,"{""Vadim Knyazev""}","{""2013-09-10 15:20:48.452592""}","",""
-1001043,Si4H8,H8Si4,(SiH3)2SiHSiH:,"","",(SiH3)2SiHSiH:,"{""Vadim Knyazev""}","{""2013-09-10 15:21:06.509753""}","",""
-1001044,Si4H8,H8Si4,(SiH3)2Si=SiH2,"","",(SiH3)2Si=SiH2,"{""Vadim Knyazev""}","{""2013-09-10 15:21:15.333395""}","",""
-1001045,Si4H8,H8Si4,SiH3Si(:)SiH2SiH3,"","",SiH3Si(:)SiH2SiH3,"{""Vadim Knyazev""}","{""2013-09-10 15:21:27.468869""}","",""
-1001046,Si4H8,H8Si4,SiH3SiH=SiHSiH3,"","",SiH3SiH=SiHSiH3,"{""Vadim Knyazev""}","{""2013-09-10 15:21:37.429939""}","",""
-1001047,Si4H6,H6Si4,cyclo-SiH2SiH2SiH2Si(:),"","",cyclo-SiH2SiH2SiH2Si(:),"{""Vadim Knyazev""}","{""2013-09-10 15:29:13.817464""}","",""
-1001048,Si4H6,H6Si4,cyclo-SiH2SiH2SiH=SiH,"","",cyclo-SiH2SiH2SiH=SiH,"{""Vadim Knyazev""}","{""2013-09-10 15:29:28.481417""}","",""
-1001049,C7H7O,C7H7O,"2,5-cyclohexadien-4-formyl-1-yl","","","2,5-cyclohexadien-4-formyl-1-yl","{""Vadim Knyazev""}","{""2013-09-10 16:10:39.070292""}","",""
-10010450,C7H7O,C7H7O,"1-oxaspiro[2.5]octa-4,7-dien-5-yl","","","1-oxaspiro[2.5]octa-4,7-dien-5-yl","{""Vadim Knyazev""}","{""2013-09-10 16:10:55.467202""}","",""
-1001236,N3,N3,c-N3,"","",c-N3,"{""Vadim Knyazev""}","{""2014-05-13 17:24:36.345369""}","",""
-1001265,TN2,TN2,TN2,"","",TN2,"{""Vadim Knyazev""}","{""2014-05-20 15:40:08.77625""}","",""
13817066,HOP,HOP,HOP,"","",HOP,"{""Vadim Knyazev""}","{""2014-05-22 16:03:12.618006""}","",""
-1001068,CH3SOOH,CH4O2S,CH3S-OOH,"","",CH3S-OOH,"{""Vadim Knyazev""}","{""2014-01-20 18:12:56.537229""}","",""
698873,C9H12O,C9H12O,"Benzeneethanol, α-methyl-","Benzyl methyl carbinol; Phenethyl alcohol, α-methyl-; 1-Phenyl-2-propanol; 2-Hydroxy-1-phenylpropane; 2-Propanol, 1-phenyl-; α-Methylbenzeneethanol; Benzenethanol, α-methyl-; NSC 53553; 1-phenylpropan-2-ol","Benzeneethanol, α-methyl-",α-Methylphenethyl alcohol,"{""Vadim Knyazev""}","{""2013-11-07 13:29:25.907142""}","",""
2327982,C10H10,C10H10,"Benzene,1,2-butadienyl-","","Benzene,1,2-butadienyl-","","{""Vadim Knyazev""}","{""2013-11-07 17:55:10.174306""}","",""
22433392,C10H10,C10H10,"Benzene,1-methyl-1,2-propadienyl-","","Benzene,1-methyl-1,2-propadienyl-","1,2-Butadiene, 3-phenyl-","{""Vadim Knyazev""}","{""2013-11-07 18:07:13.886547""}","",""
-1001051,CH3CH2CC,C4H5,CH3CH2CC&middot;,"","",CH3CH2CC&middot;,"{""Vadim Knyazev""}","{""2013-11-07 18:15:37.769115""}","",""
25714710,HC(O)CH2CH2CH2OH,C4H8O2,HC(O)CH2CH2CH2OH,"","",4-hydroxybutanal,"{""Vadim Knyazev""}","{""2013-11-14 16:34:39.576035""}","",""
2548870,CH3(CH2)4CH=CHCHO,C8H14O,trans-CH3(CH2)4CH=CHCHO,trans-2-Octenal,"",trans-CH3(CH2)4CH=CHCHO,"{""Vadim Knyazev""}","{""2013-11-14 17:04:41.520811""}","",""
18829566,C9H16O,C9H16O,trans-2-Nonenal,(E)-2-Nonenal; trans-2-Nonen-1-al; (2E)-2-Nonenal; 2E-Nonen-1-al; (2E)nonenal; (E)-2-Nonen-1-al; (E)-Non-2-enal; Non-2-(E)-enal; t-2-Nonenal; trans-Non-2-enal,"2-Nonenal, (E)-",trans-2-Nonenal,"{""Vadim Knyazev""}","{""2013-11-14 17:12:39.742595""}","",""
-1000990,CF2CF2CHFCH2,C4H3F5,cyclo-CF2CF2CHFCH2,"","",cyclo-CF2CF2CHFCH2,"{""Vadim Knyazev""}","{""2013-11-14 17:40:56.894779""}","",""
-1000991,CF2CF2CHClCHF,C4H2ClF5,trans-cyclo-CF2CF2CHClCHF,"","",trans-cyclo-CF2CF2CHClCHF,"{""Vadim Knyazev""}","{""2013-11-14 17:43:19.790751""}","",""
-1000992,CF2CFClCH2CH2,C4H4ClF3,cyclo-CF2CFClCH2CH2,"","",cyclo-CF2CFClCH2CH2,"{""Vadim Knyazev""}","{""2013-11-14 17:44:40.008326""}","",""
-1000993,CF2CFClCHClCH2,C4H3Cl2F3,trans-cyclo-CF2CFClCHClCH2,"","",trans-cyclo-CF2CFClCHClCH2,"{""Vadim Knyazev""}","{""2013-11-14 17:45:59.713358""}","",""
-1000994,CF2CFClCHClCH2,C4H3Cl2F3,cis-cyclo-CF2CFClCHClCH2,"","",cis-cyclo-CF2CFClCHClCH2,"{""Vadim Knyazev""}","{""2013-11-14 17:47:11.154141""}","",""
79776,C13H20O,C13H20O,trans-β-Ionone,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-, (E)-; (E)-β-Ionone; 4-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-3-buten-2-one; β-E-Ionone; [E]-4-[2,6,6-trimethyl-1-cyclohexen-1-yl]-3-buten-2-one; 3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-, (3E)-; β-Ionone; β-lonone; (E)-4-(2,6,6-Trimethylcyclohexen-1-yl)-3-buten-2-one; (3E)-4-(2,6,6-trimethylcyclohex-1-enyl)-3-buten-2-one (dihydro-β-ionone)",trans-β-Ionone,"","{""Vadim Knyazev""}","{""2013-11-14 18:13:36.888789""}","",""
-1000995,C4H4,C4H4,cyc-C4H4,"","",cyc-C4H4,"{""Vadim Knyazev""}","{""2013-11-17 15:27:06.506231""}","",""
60731104,C3H2,C3H2,CH2=C=C:,"",Propadienylidene,CH2=C=C:,"{""Vadim Knyazev""}","{""2013-11-17 15:33:22.967305""}","",""
2043552,C4F9CH2CH2I,C6H4F9I,n-C4F9CH2CH2I,"1H,1H,2H,2H-Perfluorohexyl iodide","1,1,1,2,2,3,3,4,4-Nonafluoro-6-iodohexane",n-C4F9CH2CH2I,"{""Vadim Knyazev""}","{""2013-11-17 16:15:32.598827""}","",""
-1000996,C3H4OF2,C3H4F2O,CF2=CHCH2OH,"","",CF2=CHCH2OH,"{""Vadim Knyazev""}","{""2013-11-17 16:58:07.421332""}","",""
-1000997,CCl3CH2CH2OH,C3H5Cl3O,CCl3CH2CH2OH,"","",CF2=CHCH2OH,"{""Vadim Knyazev""}","{""2013-11-17 16:59:43.98385""}","",""
3039552,CCl2CHCH2OH,C3H4Cl2O,CCl2=CHCH2OH,"","",CCl2=CHCH2OH,"{""Vadim Knyazev""}","{""2013-11-17 17:01:50.511706""}","",""
83463643,CH2SiHCl,CH3ClSi,CH2=SiHCl,"","",CH2=SiHCl,"{""Vadim Knyazev""}","{""2013-12-05 14:05:17.579734""}","",""
-1001052,CH3SiCl2,CH3Cl2Si,CH3SiCl2,"","","","{""Vadim Knyazev""}","{""2013-12-05 14:08:05.660817""}","",""
77971325,CH3SiCl,CH3ClSi,CH3SiCl,"","","","{""Vadim Knyazev""}","{""2013-12-05 14:17:52.138363""}","",""
-1001053,CHSiCl3,CHCl3Si,CHSiCl3,"","","","{""Vadim Knyazev""}","{""2013-12-05 15:00:35.642143""}","",""
931533,C7H11N,C7H11N,cyclohexyl isocyanide,"","",cyclohexyl isocyanide,"{""Vadim Knyazev""}","{""2014-01-14 19:08:43.637909""}","",""
1694300,CF3-C(OH)=CH-C(O)-CF3,C5H2F6O2,CF3-C(OH)=CH-C(O)-CF3,"","",cyclohexyl isocyanide,"{""Vadim Knyazev""}","{""2014-01-14 19:14:38.421316""}","",""
-1001054,C12H13NF6O2,C12H13F6NO2,c-C6H11-cyclo-(N-C(OH)(CF3)-CH=C(CF3)-C(O)-),"","",c-C6H11-cyclo-(N-C(OH)(CF3)-CH=C(CF3)-C(O)-),"{""Vadim Knyazev""}","{""2014-01-14 19:21:34.30527""}","",""
-1001055,CH3COCHOOH,C3H5O3,CH3C(O)C(&middot;)HOOH,"","",CH3C(O)C(&middot;)HOOH,"{""Vadim Knyazev""}","{""2014-01-14 19:52:29.913691""}","",""
6704310,C3H4O2,C3H4O2,3-Oxetanone,"","",3-Oxetanone,"{""Vadim Knyazev""}","{""2014-01-14 19:57:28.730341""}","",""
-1001056,HOCH2COCH2O,C3H5O3,HOCH2C(O)CH2O&middot;,"","",HOCH2C(O)CH2O&middot;,"{""Vadim Knyazev""}","{""2014-01-14 20:00:40.9713""}","",""
-1001057,CH2SO2,CH2O2S,CH2-S(O)2,"","",CH2-S(O)2,"{""Vadim Knyazev""}","{""2014-01-17 16:55:46.282225""}","",""
-1001058,CH3SO3,CH3O3S,CH3-S(O)3,"","",CH3-S(O)3,"{""Vadim Knyazev""}","{""2014-01-17 16:55:58.857171""}","",""
-1001059,C3NO,C3NO,NCCCO,"","",NCCCO,"{""Vadim Knyazev""}","{""2014-01-17 17:35:12.818009""}","",""
-10010560,C3NO,C3NO,NCC(O)C,"","",NCC(O)C,"{""Vadim Knyazev""}","{""2014-01-17 17:35:23.456931""}","",""
-10010561,C3NO,C3NO,CNCCO,"","",CNCCO,"{""Vadim Knyazev""}","{""2014-01-17 17:35:32.600256""}","",""
-10010562,C3NO,C3NO,CCNCO,"","",CCNCO,"{""Vadim Knyazev""}","{""2014-01-17 17:35:43.544657""}","",""
